Rank,Name,Percentage
1,Magearna,40.446
2,Urshifu,25.411
3,Mandibuzz,23.237
4,Cinderace,22.444
5,Dragapult,22.165
6,Clefable,20.920
7,Excadrill,19.181
8,Rillaboom,19.113
9,Volcarona,18.842
10,Toxapex,18.663
11,Azumarill,16.986
12,Marowak-Alola,15.272
13,Ferrothorn,13.144
14,Chansey,12.496
15,Slowbro,12.328
16,Magnezone,11.910
17,Hippowdon,11.869
18,Tangrowth,11.686
19,Alakazam,10.991
20,Hawlucha,10.856
21,Corviknight,10.045
22,Urshifu-Rapid-Strike,9.571
23,Kommo-o,8.399
24,Zeraora,8.355
25,Rotom-Heat,8.191
26,Hydreigon,7.684
27,Pelipper,7.411
28,Togekiss,7.280
29,Mew,5.424
30,Kingdra,5.254
31,Bisharp,5.218
32,Amoonguss,5.160
33,Scizor,4.778
34,Skarmory,4.442
35,Quagsire,4.401
36,Hatterene,4.390
37,Barraskewda,4.098
38,Crawdaunt,4.064
39,Seismitoad,4.056
40,Aegislash,3.773
41,Terrakion,3.767
42,Lycanroc-Dusk,3.626
43,Conkeldurr,3.537
44,Gengar,3.224
45,Talonflame,3.200
46,Kyurem,3.114
47,Heracross,3.085
48,Krookodile,2.995
49,Weezing-Galar,2.963
50,Slowbro-Galar,2.927
51,Jirachi,2.876
52,Grimmsnarl,2.815
53,Venusaur,2.685
54,Ninetales-Alola,2.641
55,Rotom-Wash,2.552
56,Indeedee,2.488
57,Primarina,2.424
58,Torkoal,2.177
59,Tyranitar,1.942
60,Ditto,1.862
61,Starmie,1.828
62,Mantine,1.823
63,Weavile,1.704
64,Cloyster,1.685
65,Pincurchin,1.560
66,Keldeo,1.550
67,Mimikyu,1.525
68,Druddigon,1.512
69,Shuckle,1.346
70,Raichu-Alola,1.336
71,Tentacruel,1.308
72,Klefki,1.292
73,Haxorus,1.287
74,Blissey,1.270
75,Gyarados,1.262
76,Porygon2,1.254
77,Reuniclus,1.243
78,Diggersby,1.161
79,Scyther,1.086
80,Necrozma,1.039
81,Toxtricity,1.029
82,Accelgor,0.973
83,Scolipede,0.962
84,Dragalge,0.898
85,Mamoswine,0.812
86,Rhyperior,0.793
87,Mienshao,0.785
88,Darmanitan,0.775
89,Comfey,0.765
90,Ninetales,0.746
91,Dracozolt,0.742
92,Porygon-Z,0.690
93,Gastrodon,0.656
94,Chandelure,0.647
95,Bronzong,0.619
96,Shiftry,0.610
97,Ribombee,0.585
98,Sharpedo,0.580
99,Xatu,0.575
100,Charizard,0.559
101,Exploud,0.523
102,Heliolisk,0.511
103,Vaporeon,0.507
104,Palossand,0.497
105,Zoroark,0.488
106,Lycanroc,0.477
107,Centiskorch,0.446
108,Clawitzer,0.436
109,Runerigus,0.435
110,Snorlax,0.432
111,Incineroar,0.386
112,Golurk,0.384
113,Arcanine,0.371
114,Flygon,0.358
115,Milotic,0.337
116,Toxicroak,0.329
117,Poliwrath,0.328
118,Salazzle,0.318
119,Slowking,0.304
120,Froslass,0.303
121,Shedinja,0.302
122,Obstagoon,0.299
123,Whimsicott,0.274
124,Exeggutor-Alola,0.257
125,Araquanid,0.257
126,Sylveon,0.250
127,Celebi,0.247
128,Politoed,0.238
129,Claydol,0.237
130,Pyukumuku,0.236
131,Luxray,0.226
132,Stunfisk-Galar,0.226
133,Galvantula,0.218
134,Noivern,0.217
135,Gardevoir,0.212
136,Bouffalant,0.209
137,Sandslash-Alola,0.203
138,Inteleon,0.202
139,Vikavolt,0.199
140,Indeedee-F,0.198
141,Lurantis,0.197
142,Lucario,0.193
143,Eiscue,0.187
144,Dhelmise,0.185
145,Umbreon,0.181
146,Blastoise,0.180
147,Sirfetch’d,0.172
148,Goodra,0.170
149,Slurpuff,0.169
150,Espeon,0.168
151,Corsola-Galar,0.165
152,Silvally-Ground,0.158
153,Frosmoth,0.154
154,Jellicent,0.146
155,Miltank,0.146
156,Polteageist,0.135
157,Rotom-Mow,0.131
158,Golisopod,0.128
159,Bewear,0.105
160,Drifblim,0.103
161,Coalossal,0.103
162,Shelmet,0.101
